"state_name","species_code","common_name","scientific_name","percent_pop_breeding","percent_pop_postbreeding_migration","percent_pop_nonbreeding","percent_pop_prebreeding_migration","max_week_season","max_week","max_week_percent_pop","state_rank_breeding","breeding_habitat_primary","breeding_habitat_secondary"
"Alabama","y00475","American Coot","Fulica americana",0,0.77,1.86,0.7,"nonbreeding","12-20",3.103,NA,"Wetlands:  Freshwater Marsh",NA
"Alabama","ycnher","Yellow-crowned Night Heron","Nyctanassa violacea",0.4,0.37,0,0.09,"postbreeding_migration","07-26",0.7276,"6 of 22","Wetlands:  Generalist","Coasts:  Mangroves"
"Alabama","yebcha","Yellow-breasted Chat","Icteria virens",3.93,1.49,0,5.65,"prebreeding_migration","04-26",7.697,"9 of 38","Forests:  Temperate Eastern","Forests:  Temperate Western"
"Alabama","yebcuc","Yellow-billed Cuckoo","Coccyzus americanus",3.37,4.69,0,3.55,"postbreeding_migration","10-04",10.5,"10 of 40","Forests:  Temperate Eastern",NA
"Alabama","yebfly","Yellow-bellied Flycatcher","Empidonax flaviventris",0,0.01,0,0,"postbreeding_migration","09-27",0.1977,NA,"Forests:  Boreal",NA
"Alabama","yebsap","Yellow-bellied Sapsucker","Sphyrapicus varius",0,3.43,7.07,0.56,"postbreeding_migration","10-18",8.891,NA,"Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","yelwar","Yellow Warbler","Setophaga petechia",0,0.09,0,0.04,"prebreeding_migration","04-26",1.074,NA,"Forests:  Temperate Generalist","Wetlands:  Generalist"
"Alabama","yerwar","Yellow-rumped Warbler","Setophaga coronata",0,0.84,4.33,0.93,"nonbreeding","02-01",4.62,NA,"Forests:  Boreal","Forests:  Temperate Western"
"Alabama","yetvir","Yellow-throated Vireo","Vireo flavifrons",6.72,6.8,0,7.92,"prebreeding_migration","03-29",13.81,"1 of 37","Forests:  Temperate Eastern",NA
"Alabama","yetwar","Yellow-throated Warbler","Setophaga dominica",5.73,2.73,0,6.75,"prebreeding_migration","03-22",11.77,"8 of 24","Forests:  Temperate Eastern",NA
